"column_label","time","S","Lg","Lq","Ig_pres","Iq_pres","Iag_r","Iaq_r","Ismg","Ism_iso","Iss","Iss_hosp","Iss_isohome","H_g_OK","H_g_denied","H_ICU_OK","H_ICU_denied","H_vent_OK","H_vent_denied","D","R","N_tot","L_tot1","I_tot1"
"1",35,999100.62638839,410.477574630202,75.572792007449,221.299811922166,52.3947469599875,108.249189949594,81.0113289059678,2.10643008049307,0.295428620183178,17.1254478088868,0.0234214678252036,8.64079128189074,0.138399666719185,-2.78968553869581e-17,0.0194106716151194,-4.17317681162789e-18,0.00272236329379668,-3.10399852924305e-20,1.3143648066662,120.701750468162,1000200,486.050366637651,491.146596996994
"1",36,999026.380836191,439.51934115927,79.9183335068153,237.208137413888,54.3744524932945,115.94678856526,84.3485097198557,2.23478957008907,0.313431148370531,18.1690208950331,0.0248467099927697,9.17463149397805,0.146739156732985,5.51797984301597e-17,0.0205802922213879,-3.50323629716195e-17,0.00288640358407151,-1.11622316915439e-20,1.42374971168768,130.792925569989,1000200,519.437674666086,521.794608009762
"1",37,998946.997760203,470.56226521317,84.592173040076,254.220268287358,56.5517664537967,124.188126623092,87.8156061245558,2.37233483511859,0.332721989418,19.287275082265,0.0263739089161229,9.74081195035184,0.155672810496699,3.37321347960705e-17,0.0218332448017035,-1.56727974617229e-17,0.00306213125497096,9.68007211982889e-22,1.53986417228461,141.592083931954,1000200,555.154438253246,554.535285254873
"1",38,998862.120476509,503.748268549589,89.6132420806719,272.411821787225,58.9376279810037,133.010633756974,91.4253135983491,2.51974175776411,0.353395936379686,20.4857053476757,0.0280105818431552,10.3421105207443,0.165245202322546,-2.52914753350789e-17,0.0231757809414745,1.93307791984216e-17,0.00325042309669484,-4.14465582603014e-22,1.66313321018318,153.148846977562,1000200,593.361510630261,589.514361267958
"1",39,998771.367656941,539.228710431089,95.0021327166967,291.863970195765,61.5436700959269,142.454286419341,95.191032484856,2.67772644213418,0.375553423469218,21.7701336758877,0.0297646923685237,10.9814755191161,0.175503458789618,-2.22116643319698e-17,0.0246145101837207,2.48642894618421e-17,0.00345220610330405,-3.79012405674885e-21,1.79401706195374,165.516299726811,1000200,634.230843147786,626.887612948865
"1",40,998674.331685281,577.165032882736,100.78117701593,312.663764290173,64.3822954143559,152.561803927749,99.1269141991316,2.84704871768268,0.399301017417297,23.1467375421357,0.0316446878014444,11.6620358783662,0.186497495526875,1.70704911533216e-17,0.0261564332380908,6.58375429972641e-18,0.00366846213031377,1.21898136764658e-19,1.93301328513383,178.751223471357,1000200,677.946209898666,666.821545674813
"1",41,998570.576898343,617.729455365694,106.974535222533,334.904482673818,67.4667520520352,163.378851681592,103.247911990212,3.0285157753051,0.424751927437317,24.6220794740252,0.0336595404265202,12.3871124937818,0.198280259641278,2.38333018603185e-17,0.0278089759816159,-2.48231905624095e-18,0.00390023266332811,2.0753123306128e-19,2.08065899548753,192.914344997425,1000200,724.703990588227,709.494117608633
"1",42,998459.637685055,661.105721643555,113.608292129097,358.6860161689,70.8112141842114,174.954257871721,107.5698361715,3.22298603113308,0.452026547125847,26.2031384644966,0.0358187910847497,13.1602306586421,0.210907986340103,-1.7215193506302e-20,0.0295800254502083,7.89509004354625e-18,0.00414862386587871,1.09424436382097e-19,2.23753329610849,208.070606353397,1000200,774.714013772652,755.095524888815
"1",43,998341.016439925,707.489903015591,120.710562693215,384.115285841391,74.4308658387153,187.340243585603,112.109414410632,3.43137322199852,0.48125302885498,27.8973432682806,0.0381325942195638,13.9851337106009,0.224440471297577,-1.22804814727413e-17,0.0314779680383146,1.94922623816492e-17,0.00441481193695861,-1.27160882325176e-20,2.40425989568959,224.28945572008,1000200,828.200465708806,803.829045500296
"1",44,998214.181375705,757.091259626138,128.311607830426,411.306691587797,78.3419857368443,200.592664480568,116.884357505935,3.65465070699777,0.512567887070382,29.7126073739656,0.0406117656458941,14.8657979974086,0.238941355825674,-2.29778343372132e-18,0.0335117294943647,1.8453739981421e-17,0.00470004872041832,-2.62553263257044e-20,2.58150989969278,241.645158764175,1000200,885.402867456564,855.911935042233
"1",45,998078.564191715,810.133159801831,136.443960375382,440.382592923313,82.5620336799814,214.771264705779,121.913430652491,3.89385598286063,0.546116631575664,31.6573657143141,0.0432678330813126,15.8064491677271,0.254478425267633,7.15083567167878e-18,0.0356908167707171,1.22257426672361e-17,0.00500566757445633,1.88717620766973e-19,2.7700047847903,260.217131123839,1000200,946.577120177213,911.576377291124
