"time","Sg","Lg","Lq","Iag","Iaq","Ismg","Ismq","Issq","R","D","Hg","AGG_TOTAL_PEOPLE","AGG_L_rowSums","AGG_I_rowSums","AGG_S_rowSums","AGG_R_rowSums","AGG_D_rowSums","AGG_H_rowSums","trans_rate","frac_contact_trace","Cgg","Cgq","t_latency","f_symp","t_Ia_R","f_mild","f_mild_iso","t_presymp","t_diag","t_mild_symptomatic","f_severe_death","t_severe_recovery","t_severe_Death","t_severe_Hosp","Hg_cap","f_Hg_saved","t_Hg","max_time_steps","CHANGE_Sg_in","CHANGE_D_in","CHANGE_Lg_in","CHANGE_Lq_in","CHANGE_Iag_in","CHANGE_Iaq_in","CHANGE_Ismg_in","CHANGE_Ismq_in","CHANGE_Issq_in","CHANGE_Hg_in","CHANGE_R_in"
86,0.747832279355597,0.121225767344031,1.09103181120875,3353.64044919661,30178.6311584602,9675.48692440709,54827.7592383068,1241.26947481125,878233.411876576,13328.5818181026,9259.25897028171,1000100,1.21225757855278,99276.7872451819,0.747832279355597,878233.411876576,13328.5818181026,9259.25897028171,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,85.7948723782833,0.00476396623897366,0.0428756961507629,0.0327637209037923,0.294873462488851,269.632995997168,1527.92031065062,292.624956896151,740.741029718291,6059.81360654611
87,0.702938854391826,0.09643956319712,0.867955996358418,3137.38235094125,28232.5748163094,9182.17067695593,52032.3005027502,707.018648706901,884137.056409173,13411.7014383413,9258.12782240806,1000100,0.964395559555538,93291.4469956637,0.702938854391826,884137.056409173,13411.7014383413,9258.12782240806,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,80.4861273938029,0.00422781533781239,0.0380503380403115,0.0260647468100324,0.234582701718491,252.245825581863,1429.39301163055,273.755159546207,707.0186487069,5749.81976572997
88,0.663027781907527,0.0770882397316383,0.693794102319052,2935.06565730335,26411.9739256147,8710.62428914863,49360.2043051755,401.08873163759,889737.519910241,13489.787300991,9052.30196976402,1000100,0.77088234205069,87818.9569088797,0.663027781907527,889737.519910241,13489.787300991,9052.30196976402,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,75.8178686498922,0.00376585605505229,0.0338927044954706,0.0208346593869293,0.18751191954569,235.979545286244,1337.21742328871,256.101832093598,401.08873163759,5453.29017986748
89,0.627415127499087,0.0619443976597683,0.557499536760618,2745.79249719783,24708.74875525,8260.21570574483,46807.8889992207,286.814512209587,895048.012092578,13563.519906418,8677.76067231969,1000100,0.619443934420387,82809.4604696229,0.627415127499087,895048.012092578,13563.519906418,8677.76067231969,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,71.7119086566481,0.00336603921454812,0.0302943529309331,0.0167417290972347,0.150675550475843,220.761966210933,1250.98447519529,239.586629996361,286.814512209587,5169.87216126354
90,0.595535637046425,0.0500609146647513,0.45054819979418,2568.72262337026,23115.3381170666,7830.29437097703,44371.6681022032,238.295311812707,900081.57492568,13633.3118249685,8259.69857917012,1000100,0.500609114458931,78124.3185254298,0.595535637046425,900081.57492568,13633.3118249685,8259.69857917012,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,67.9128574174762,0.00301771258908653,0.0271594133017788,0.0135299769364193,0.121769783728157,206.525532413853,1170.31135034517,224.136236728212,238.295311812706,4899.38124825746
91,0.566916168884741,0.040706951980092,0.366362543255365,2403.06976081489,21624.6665062655,7420.19695759373,42047.7827596978,212.732286518869,904850.96592561,13699.4171736322,7840.19464420302,1000100,0.407069495235457,73708.4482708908,0.566916168884741,904850.96592561,13699.4171736322,7840.19464420302,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,64.3300889786623,0.0027128494482101,0.0244156450338909,0.0110018789135384,0.099016903582531,193.207027323593,1094.83982150036,209.682045157388,212.73228651887,4641.46263335309
92,0.54115531975629,0.0333184984133671,0.2998664669726,2248.09817569065,20230.1132259556,7029.25238338274,39832.4301725022,195.551092183342,909368.553356509,13762.0323482054,7433.0949052863,1000100,0.333184965385967,69535.4450497144,0.54115531975629,909368.553356509,13762.0323482054,7433.0949052863,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,60.9289080028108,0.00244502192833873,0.0220051973550486,0.00900499957118029,0.0810449910736757,180.747297880637,1024.23468799028,196.159858165033,195.551092183342,4395.70295900602
93,0.517910018594872,0.0274600265645777,0.247140224773454,2103.11945409941,18925.4834001933,6656.78618521045,37721.7883828592,181.764397485965,913646.280730269,13821.3302213664,7042.65471824631,1000100,0.274600251338032,65588.9418198484,0.517910018594872,913646.280730269,13821.3302213664,7042.65471824631,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,57.6936106670635,0.00220893682558019,0.0198804314302217,0.00742162880123722,0.0667946553441769,169.090995551368,958.182308124418,183.509607575128,181.764397485965,4161.66982973903
94,0.496885578200976,0.0227949310146608,0.205154368212659,1967.48947979514,17704.9807771409,6302.12431572389,35712.037789102,169.643171247962,917695.656278392,13877.4717637183,6669.87159000277,1000100,0.22794929922732,61856.2755330099,0.496885578200976,917695.656278392,13877.4717637183,6669.87159000277,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,54.6149611970418,0.00200017655368582,0.0180015889831724,0.00616079216612454,0.0554471265439619,158.186333336023,896.389222237461,171.675090442195,169.643171247963,3938.92655920248
95,0.477827849722557,0.0190627850078209,0.17156505673708,1840.60560001652,16563.1822250908,5964.59642206181,33799.3797250169,158.567292774748,921527.752135611,13930.6100172199,6314.63812651714,1000100,0.190627841744901,58326.3312649608,0.477827849722557,921527.752135611,13930.6100172199,6314.63812651714,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,51.6859557163656,0.00181502674341396,0.0163352406907256,0.00515210405616781,0.0463689342532648,147.984857901688,838.580861442897,160.60372175377,158.567292774748,3727.03831683542
